file_name;time(s);acc_x_ms2;acc_y_ms2;acc_z_ms2;acc_abs_ms2;road_type;Weather Conditions;backpack_weight_kg;total_weight_kg;total_weights;weight_description
sample_01_Asfalt_combo1_cut01.csv;0;0.0020082;0.047438025;-0.010847092;0.048703783;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut02.csv;1;0.297101617;-0.081572413;-0.079092979;0.318086669;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut03.csv;2;-0.984995008;0.236972094;0.137576103;1.022398221;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut04.csv;3;-1.752987862;0.018637121;-1.339848518;2.206469541;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut05.csv;4;-0.485948861;-1.351871729;0.133001328;1.442703303;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut06.csv;5;1.633732557;0.04260172;0.214351654;1.64828505;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut07.csv;6;-0.6595999;-0.123144269;-0.929683685;1.146537524;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut08.csv;7;-0.673195005;-0.52006501;1.535151482;1.755092362;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut09.csv;8;0.438553095;-0.401208192;0.605149269;0.848234913;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut10.csv;9;1.076945066;0.171215236;1.867549896;2.162606748;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut11.csv;10;0.066216871;0.0561077;0.54814148;0.554970116;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut12.csv;11;1.201065779;0.30714947;0.511864662;1.341232729;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut13.csv;12;0.245085478;-0.235488951;-0.124010086;0.361801657;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut14.csv;13;0.125968292;0.190126419;-0.985897064;1.011933341;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut15.csv;14;0.653780699;0.337255061;-0.945958138;1.198335085;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut16.csv;15;-0.098418221;0.552426219;0.515316963;0.761848047;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut17.csv;16;-0.965238452;0.810797811;1.213798523;1.749967203;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut18.csv;17;0.329728007;-0.411608756;-0.015032768;0.527606208;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut19.csv;18;-0.040858462;0.131704688;0.056458473;0.14900704;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut20.csv;19;1.649070859;-0.935327053;0.287851334;1.917584362;Asfalt;Dry;0;75;90.3;No backpack
sample_01_Asfalt_combo1_cut21.csv;20;-0.794095993;-0.136180371;-0.025905609;0.806104609;Asfalt;Dry;0;75;90.3;No backpack
sample_02_Gras_combo1_cut01.csv;0;0.671005249;0.057815194;0.400549889;0.783601209;Gras;Damp;0;75;90.3;No backpack
sample_02_Gras_combo1_cut02.csv;1;0.424125969;0.019337267;0.046450615;0.42710002;Gras;Damp;0;75;90.3;No backpack
sample_02_Gras_combo1_cut03.csv;2;-0.825280905;1.251053691;-3.491896152;3.799942453;Gras;Damp;0;75;90.3;No backpack
sample_02_Gras_combo1_cut04.csv;3;0.07476186;1.175032377;-0.861814499;1.459114339;Gras;Damp;0;75;90.3;No backpack
sample_02_Gras_combo1_cut05.csv;4;0.731899142;-0.632537484;1.73897934;1.98993195;Gras;Damp;0;75;90.3;No backpack
